exchange,symbol,ticker,name,isin,currency,source,asof_date
NSE,ARFIN,ARFIN.NS,Arfin India Limited,INE784R01023,INR,NSE:EQUITY_L,2026-02-18
NSE,ARIES,ARIES.NS,Aries Agro Limited,INE298I01015,INR,NSE:EQUITY_L,2026-02-18
NSE,ARIHANTCAP,ARIHANTCAP.NS,Arihant Capital Markets Limited,INE420B01036,INR,NSE:EQUITY_L,2026-02-18
NSE,ARIHANTSUP,ARIHANTSUP.NS,Arihant Superstructures Limited,INE643K01018,INR,NSE:EQUITY_L,2026-02-18
NSE,ARIS,ARIS.NS,Arisinfra Solutions Limited,INE0H9P01028,INR,NSE:EQUITY_L,2026-02-18
NSE,ARKADE,ARKADE.NS,Arkade Developers Limited,INE0QRL01017,INR,NSE:EQUITY_L,2026-02-18
NSE,ARMANFIN,ARMANFIN.NS,Arman Financial Services Limited,INE109C01017,INR,NSE:EQUITY_L,2026-02-18
NSE,AROGRANITE,AROGRANITE.NS,Aro Granite Industries Limited,INE210C01013,INR,NSE:EQUITY_L,2026-02-18
NSE,ARROWGREEN,ARROWGREEN.NS,Arrow Greentech Limited,INE570D01018,INR,NSE:EQUITY_L,2026-02-18
NSE,ARSHIYA,ARSHIYA.NS,Arshiya Limited,INE968D01022,INR,NSE:EQUITY_L,2026-02-18
NSE,ARSSBL,ARSSBL.NS,Anand Rathi Share and Stock Brokers Limited,INE549H01021,INR,NSE:EQUITY_L,2026-02-18
NSE,ARTEMISMED,ARTEMISMED.NS,Artemis Medicare Services Limited,INE025R01021,INR,NSE:EQUITY_L,2026-02-18
NSE,ARTNIRMAN,ARTNIRMAN.NS,Art Nirman Limited,INE738V01013,INR,NSE:EQUITY_L,2026-02-18
NSE,ARVEE,ARVEE.NS,Arvee Laboratories (India) Limited,INE006Z01016,INR,NSE:EQUITY_L,2026-02-18
NSE,ARVIND,ARVIND.NS,Arvind Limited,INE034A01011,INR,NSE:EQUITY_L,2026-02-18
NSE,ARVINDFASN,ARVINDFASN.NS,Arvind Fashions Limited,INE955V01021,INR,NSE:EQUITY_L,2026-02-18
NSE,ARVSMART,ARVSMART.NS,Arvind SmartSpaces Limited,INE034S01021,INR,NSE:EQUITY_L,2026-02-18
NSE,ASAHIINDIA,ASAHIINDIA.NS,Asahi India Glass Limited,INE439A01020,INR,NSE:EQUITY_L,2026-02-18
NSE,ASAHISONG,ASAHISONG.NS,Asahi Songwon Colors Limited,INE228I01012,INR,NSE:EQUITY_L,2026-02-18
NSE,ASAL,ASAL.NS,Automotive Stampings and Assemblies Limited,INE900C01027,INR,NSE:EQUITY_L,2026-02-18
NSE,ASALCBR,ASALCBR.NS,Associated Alcohols & Breweries Ltd.,INE073G01016,INR,NSE:EQUITY_L,2026-02-18
NSE,ASHAPURMIN,ASHAPURMIN.NS,Ashapura Minechem Limited,INE348A01023,INR,NSE:EQUITY_L,2026-02-18
NSE,ASHIANA,ASHIANA.NS,Ashiana Housing Limited,INE365D01021,INR,NSE:EQUITY_L,2026-02-18
NSE,ASHIMASYN,ASHIMASYN.NS,Ashima Limited,INE440A01010,INR,NSE:EQUITY_L,2026-02-18
NSE,ASHOKA,ASHOKA.NS,Ashoka Buildcon Limited,INE442H01029,INR,NSE:EQUITY_L,2026-02-18
NSE,ASHOKAMET,ASHOKAMET.NS,Ashoka Metcast Limited,INE760Y01011,INR,NSE:EQUITY_L,2026-02-18
NSE,ASHOKLEY,ASHOKLEY.NS,Ashok Leyland Limited,INE208A01029,INR,NSE:EQUITY_L,2026-02-18
NSE,ASIANENE,ASIANENE.NS,Asian Energy Services Limited,INE276G01015,INR,NSE:EQUITY_L,2026-02-18
NSE,ASIANHOTNR,ASIANHOTNR.NS,Asian Hotels (North) Limited,INE363A01022,INR,NSE:EQUITY_L,2026-02-18
NSE,ASIANPAINT,ASIANPAINT.NS,Asian Paints Limited,INE021A01026,INR,NSE:EQUITY_L,2026-02-18
NSE,ASIANTILES,ASIANTILES.NS,Asian Granito India Limited,INE022I01019,INR,NSE:EQUITY_L,2026-02-18
NSE,ASKAUTOLTD,ASKAUTOLTD.NS,ASK Automotive Limited,INE491J01022,INR,NSE:EQUITY_L,2026-02-18
NSE,ASMS,ASMS.NS,Bartronics India Limited,INE855F01042,INR,NSE:EQUITY_L,2026-02-18
NSE,ASPINWALL,ASPINWALL.NS,Aspinwall and Company Limited,INE991I01015,INR,NSE:EQUITY_L,2026-02-18
NSE,ASTEC,ASTEC.NS,Astec LifeSciences Limited,INE563J01010,INR,NSE:EQUITY_L,2026-02-18
NSE,ASTERDM,ASTERDM.NS,Aster DM Healthcare Limited,INE914M01019,INR,NSE:EQUITY_L,2026-02-18
NSE,ASTRAL,ASTRAL.NS,Astral Limited,INE006I01046,INR,NSE:EQUITY_L,2026-02-18
NSE,ASTRAMICRO,ASTRAMICRO.NS,Astra Microwave Products Limited,INE386C01029,INR,NSE:EQUITY_L,2026-02-18
NSE,ASTRAZEN,ASTRAZEN.NS,AstraZeneca Pharma India Limited,INE203A01020,INR,NSE:EQUITY_L,2026-02-18
NSE,ASTRON,ASTRON.NS,Astron Paper & Board Mill Limited,INE646X01014,INR,NSE:EQUITY_L,2026-02-18
NSE,ATALREAL,ATALREAL.NS,Atal Realtech Limited,INE0ALR01029,INR,NSE:EQUITY_L,2026-02-18
NSE,ATAM,ATAM.NS,Atam Valves Limited,INE09KD01013,INR,NSE:EQUITY_L,2026-02-18
NSE,ATGL,ATGL.NS,Adani Total Gas Limited,INE399L01023,INR,NSE:EQUITY_L,2026-02-18
NSE,ATHERENERG,ATHERENERG.NS,Ather Energy Limited,INE0LEZ01016,INR,NSE:EQUITY_L,2026-02-18
NSE,ATL,ATL.NS,Allcargo Terminals Limited,INE0NN701020,INR,NSE:EQUITY_L,2026-02-18
NSE,ATLANTAA,ATLANTAA.NS,ATLANTAA LIMITED,INE285H01022,INR,NSE:EQUITY_L,2026-02-18
NSE,ATLANTAELE,ATLANTAELE.NS,Atlanta Electricals Limited,INE0Z4F01028,INR,NSE:EQUITY_L,2026-02-18
